Date,AAPL,ADBE,COP,CSCO,CVX,EMR,EOG,FB,GE,GOOG,IBM,INTC,MSFT,NVDA,ORCL,OXY,PSX,SLB,VLO,XOM
2018-05-09,187.36000061,239.740005493,68.6999969482,46.0400009155,128.720001221,71.9300003052,117.790000916,182.660003662,14.0576925278,1082.76000977,142.61000061,54.3400001526,96.9400024414,255.779998779,46.5800018311,82.4000015259,117.5,70.8799972534,114.819999695,79.9300003052
2018-05-10,190.039993286,241.149993896,69.3399963379,46.2999992371,128.820007324,71.9700012207,118.949996948,185.529998779,14.125,1097.56994629,144.240005493,54.9799995422,97.9100036621,260.130004883,46.9300003052,83.8600006104,117.959999084,71.1200027466,114.489997864,81.7200012207
2018-05-11,188.589996338,241.880004883,69.4400024414,45.9300003052,129.839996338,72.0,117.410003662,186.990005493,14.0384616852,1098.26000977,144.13999939,54.6699981689,97.6999969482,254.529998779,46.8199996948,84.9700012207,117.760002136,71.0800018311,114.629997253,81.2799987793
2018-05-14,188.149993896,238.369995117,69.5899963379,45.7000007629,130.38999939,72.1600036621,118.680000305,186.63999939,14.1442308426,1100.19995117,144.300003052,54.9000015259,98.0299987793,255.36000061,46.8199996948,84.8899993896,118.290000916,71.5999984741,115.870002747,81.8300018311
2018-05-15,186.440002441,236.600006104,70.0899963379,45.4799995422,129.740005493,71.8300018311,120.230003357,184.320007324,14.1442308426,1079.22998047,143.740005493,53.9199981689,97.3199996948,245.559997559,46.8100013733,84.2699966431,118.319999695,71.5999984741,115.900001526,81.7900009155
2018-05-16,188.179992676,237.38999939,69.8499984741,45.1599998474,129.559997559,71.9499969482,121.5,183.199996948,14.4519233704,1081.77001953,144.630004883,54.6399993896,97.1500015259,246.009994507,46.7299995422,84.2600021362,118.160003662,73.1100006104,114.989997864,82.0199966431
2018-05-17,186.990005493,236.850006104,70.6600036621,43.4599990845,129.460006714,72.9700012207,126.150001526,183.759994507,14.4519233704,1078.58996582,144.5,54.8100013733,96.1800003052,247.710006714,46.5400009155,86.1600036621,121.870002747,74.4300003052,119.709999084,81.8799972534
2018-05-18,186.309997559,238.089996338,69.5500030518,43.2099990845,127.86000061,73.1399993896,125.790000916,182.679992676,14.3942308426,1066.35998535,144.080001831,53.5,96.3600006104,245.940002441,46.3199996948,85.4199981689,120.330001831,74.2900009155,120.559997559,81.3000030518
2018-05-21,187.630004883,238.100006104,70.6600036621,43.75,129.369995117,74.0800018311,127.449996948,184.490005493,14.6730766296,1079.57995605,145.490005493,54.3199996948,97.5999984741,244.240005493,47.2099990845,85.7900009155,121.440002441,75.0299987793,122.059997559,82.2799987793
2018-05-22,187.160003662,238.789993286,70.1299972534,43.6500015259,128.229995728,73.2600021362,123.760002136,183.800003052,14.7019233704,1069.72998047,145.089996338,54.4500007629,97.5,242.699996948,46.3699989319,84.9499969482,118.75,73.7300033569,120.150001526,81.6399993896
